Precio_Entrada,Tiempo_Entrada,Precio_Salida,Tiempo_Salida,Perdida,Método,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11
30650.89,2023-07-03 10:58:29.125826,30641.69,2023-07-03 10:59:39.511688,-0.9200000000000728,1P,30,0.02,-10,15,30,5,15,5,30,10,3.772203
30640.09,2023-07-03 11:00:14.479067,30629.12,2023-07-03 11:00:23.199042,-1.0970000000001165,1P,30,0.02,-10,15,30,5,15,5,30,10,3.529092
30666.68,2023-07-03 11:15:17.572205,30650.82,2023-07-03 11:19:01.098906,-1.5860000000000583,1P,30,0.02,-10,15,30,5,15,5,30,10,4.6868490000000005
30672.98,2023-07-03 11:24:25.148275,30662.91,2023-07-03 11:27:33.397203,-1.006999999999971,1P,30,0.02,-10,15,30,5,15,5,30,10,2.989337
30662.79,2023-07-03 11:27:50.736648,30653.42,2023-07-03 11:28:51.954907,-0.937000000000262,1P,30,0.02,-10,15,30,5,15,5,30,10,3.244416
30648.08,2023-07-03 11:33:03.703635,30647.84,2023-07-03 11:33:04.539031,-0.024000000000160074,2G,30,0.02,-10,15,30,5,15,5,30,10,4.07143
30648.69,2023-07-03 11:33:05.374140,30647.83,2023-07-03 11:33:06.323827,-0.08599999999969442,2G,30,0.02,-10,15,30,5,15,5,30,10,5.740173
30657.37,2023-07-03 11:37:56.123807,30649.08,2023-07-03 11:40:28.983175,-0.8289999999997235,1P,30,0.02,-10,15,30,5,15,5,30,10,2.973067
30644.86,2023-07-03 11:41:04.199588,30631.83,2023-07-03 11:51:05.081786,-1.3029999999998836,1P,30,0.02,-10,15,30,5,15,5,30,10,4.265436
30624.51,2023-07-03 11:51:39.760454,30622.77,2023-07-03 11:53:03.174368,-0.1739999999997963,2G,30,0.02,-10,15,30,5,15,5,30,10,3.347225
30624.87,2023-07-03 11:53:04.014493,30622.76,2023-07-03 11:53:04.855142,-0.21100000000005822,2G,30,0.02,-10,15,30,5,15,5,30,10,3.913092
30627.2,2023-07-03 11:53:05.417979,30622.0,2023-07-03 11:53:06.282105,-0.5200000000000727,2G,30,0.02,-10,15,30,5,15,5,30,10,5.585495
