Precio_Entrada,Tiempo_Entrada,Precio_Salida,Tiempo_Salida,Perdida
30646.76,2023-07-03 10:44:38.067328,30646.6,2023-07-03 10:44:38.645375,-0.01599999999998545
30668.06,2023-07-03 10:54:54.455646,30666.77,2023-07-03 10:55:16.082245,-0.12900000000008732
30666.79,2023-07-03 10:56:13.925509,30666.52,2023-07-03 10:57:23.544988,-0.027000000000043656
30651.13,2023-07-03 10:58:29.426689,30647.43,2023-07-03 10:59:09.047377,-0.37000000000007277
30651.93,2023-07-03 10:59:13.298906,30645.58,2023-07-03 10:59:30.568354,-0.6349999999998546
30641.18,2023-07-03 11:00:14.531111,30638.41,2023-07-03 11:00:19.003087,-0.27700000000004366
30641.83,2023-07-03 11:00:19.847997,30637.91,2023-07-03 11:00:20.304421,-0.3920000000001892
30641.96,2023-07-03 11:00:21.153140,30637.18,2023-07-03 11:00:21.597398,-0.47799999999988363
30660.96,2023-07-03 11:16:45.709449,30650.79,2023-07-03 11:19:01.154411,-1.0169999999998254
30673.0,2023-07-03 11:24:25.185274,30672.87,2023-07-03 11:24:29.215822,-0.013000000000101864
30672.99,2023-07-03 11:24:30.016262,30672.81,2023-07-03 11:24:30.466785,-0.018000000000029104
30673.09,2023-07-03 11:24:31.269080,30671.73,2023-07-03 11:24:31.722410,-0.1360000000000582
30663.19,2023-07-03 11:27:50.791650,30660.07,2023-07-03 11:28:47.436808,-0.31199999999989814
30649.31,2023-07-03 11:33:02.474725,30647.67,2023-07-03 11:33:07.387208,-0.1640000000003056
30648.08,2023-07-03 11:33:07.997533,30647.5,2023-07-03 11:33:08.450474,-0.05800000000017463
30648.37,2023-07-03 11:33:09.027781,30647.22,2023-07-03 11:33:09.208748,-0.11499999999978172
30657.28,2023-07-03 11:37:55.925094,30655.14,2023-07-03 11:38:57.030988,-0.2139999999999418
30652.92,2023-07-03 11:39:27.580190,30649.48,2023-07-03 11:40:28.853235,-0.3439999999998691
30644.84,2023-07-03 11:41:04.092750,30641.92,2023-07-03 11:41:12.625814,-0.29200000000018916
30639.05,2023-07-03 11:41:30.086512,30637.58,2023-07-03 11:42:35.523605,-0.14699999999975263
30623.31,2023-07-03 11:51:39.689953,30622.85,2023-07-03 11:52:45.800072,-0.046000000000276486
30642.16,2023-07-03 11:54:52.577392,30638.37,2023-07-03 11:55:05.534707,-0.3790000000000873
30622.48,2023-07-03 11:55:58.045664,30622.44,2023-07-03 11:56:37.194389,-0.004000000000087311
30627.58,2023-07-03 11:59:49.518452,30623.98,2023-07-03 12:00:11.646490,-0.3600000000002183
30616.0,2023-07-03 12:06:59.052345,30612.11,2023-07-03 12:07:16.342914,-0.38899999999994184
30603.21,2023-07-03 12:08:08.412597,30601.63,2023-07-03 12:09:13.923299,-0.15799999999981085
30593.7,2023-07-03 12:11:12.126757,30591.78,2023-07-03 12:11:38.144515,-0.19200000000018919
30591.2,2023-07-03 12:12:00.112512,30587.98,2023-07-03 12:12:26.507578,-0.3220000000001164
30592.72,2023-07-03 12:14:11.410972,30592.04,2023-07-03 12:14:24.143650,-0.0680000000000291
30602.3,2023-07-03 12:23:17.914509,30602.08,2023-07-03 12:23:40.025346,-0.02199999999975262
30612.05,2023-07-03 12:26:17.529042,30606.4,2023-07-03 12:26:31.617892,-0.5649999999997818
30596.26,2023-07-03 12:27:55.790608,30590.0,2023-07-03 12:28:00.076262,-0.62599999999984
30590.19,2023-07-03 12:28:01.178603,30589.97,2023-07-03 12:28:01.627368,-0.02199999999975262
30590.2,2023-07-03 12:28:02.455183,30589.92,2023-07-03 12:28:02.916702,-0.028000000000247383
30624.42,2023-07-03 12:35:32.198466,30621.41,2023-07-03 12:35:54.095005,-0.30099999999983995
30633.28,2023-07-03 12:40:07.708927,30630.69,2023-07-03 12:40:20.943568,-0.25900000000001455
30635.48,2023-07-03 12:40:47.303957,30632.68,2023-07-03 12:41:13.281232,-0.27999999999992725
30633.69,2023-07-03 12:48:14.958344,30629.79,2023-07-03 12:49:08.467525,-0.38999999999978174
30623.89,2023-07-03 12:49:43.418105,30620.0,2023-07-03 12:50:40.774381,-0.38899999999994184
