Precio_Entrada,Tiempo_Entrada,Precio_Salida,Tiempo_Salida,Ganancia,Ganancia 0.01,Costo_Compra,Costo_Venta,Costo_xTrade
30608.42,59:13.4,30609.61,00:10.3,0.119,0.0119,0.3060842,0.3060961,0.9221803
30611.64,00:55.1,30615.54,01:25.3,0.39,0.039,0.3061164,0.3061554,0.9222718
30607.26,03:14.7,30608.32,03:54.9,0.106,0.0106,0.3060726,0.3060832,0.9221558
30583.31,05:04.8,30618.6,07:03.4,3.529,0.3529,0.3058331,0.306186,0.9220191
30615.89,10:16.6,30627.19,11:00.3,1.13,0.113,0.3061589,0.3062719,0.9224308
30617.9,13:16.2,30618.47,15:40.6,0.057,0.0057,0.306179,0.3061847,0.9223637
30618.84,16:15.5,30624.79,17:03.2,0.595,0.0595,0.3061884,0.3062479,0.9224363
30617.03,19:37.7,30624.11,21:00.8,0.708,0.0708,0.3061703,0.3062411,0.9224114
30622,22:50.6,30623.78,24:09.0,0.178,0.0178,0.30622,0.3062378,0.9224578
30611.36,29:38.7,30624.97,30:48.9,1.361,0.1361,0.3061136,0.3062497,0.9223633
30626.97,32:13.3,30628.58,32:39.4,0.161,0.0161,0.3062697,0.3062858,0.9225555
30625.75,33:45.5,30628.01,35:13.1,0.226,0.0226,0.3062575,0.3062801,0.9225376
30631.24,35:30.1,30638.01,36:27.0,0.677,0.0677,0.3063124,0.3063801,0.9226925
30642.05,37:28.3,30648.52,38:07.5,0.647,0.0647,0.3064205,0.3064852,0.9229057
30646.51,40:23.2,30649.39,41:07.2,0.288,0.0288,0.3064651,0.3064939,0.922959
30646.74,45:25.7,30648.72,46:09.8,0.198,0.0198,0.3064674,0.3064872,0.9229546
30649.33,46:14.1,30651.48,46:44.3,0.215,0.0215,0.3064933,0.3065148,0.9230081
30645.4,47:54.5,30652.33,49:26.2,0.693,0.0693,0.306454,0.3065233,0.9229773
30655.07,49:52.5,30657.46,50:18.8,0.239,0.0239,0.3065507,0.3065746,0.9231253
30659.24,51:19.9,30660.09,51:55.3,0.085,0.0085,0.3065924,0.3066009,0.9231933
30661.91,52:17.0,30665.84,52:38.7,0.393,0.0393,0.3066191,0.3066584,0.9232775
30633.99,00:40.9,30647.9,02:38.9,1.391,0.1391,0.3063399,0.306479,0.9228189
30652.44,03:54.0,30653.97,04:29.1,0.153,0.0153,0.3065244,0.3065397,0.9230641
30650.2,06:00.8,30651.3,10:18.7,0.11,0.011,0.306502,0.306513,0.923015
30650.09,11:55.0,30662.76,13:00.9,1.267,0.1267,0.3065009,0.3066276,0.9231285
30666.75,15:17.7,30671,15:52.8,0.425,0.0425,0.3066675,0.30671,0.9233775
30643.71,19:41.2,30652.31,21:25.6,0.86,0.086,0.3064371,0.3065231,0.9229602
30657.57,23:02.4,30665.94,23:50.0,0.837,0.0837,0.3065757,0.3066594,0.9232351
30676.48,24:47.2,30676.72,25:04.7,0.024,0.0024,0.3067648,0.3067672,0.923532
30651.91,29:22.4,30657.79,30:47.4,0.588,0.0588,0.3065191,0.3065779,0.923097
30644.48,31:39.8,30648.78,32:53.8,0.43,0.043,0.3064448,0.3064878,0.9229326
30643.42,34:28.6,30646.48,35:03.3,0.306,0.0306,0.3064342,0.3064648,0.922899
30653.12,35:43.0,30660.81,36:21.9,0.769,0.0769,0.3065312,0.3066081,0.9231393
30635.97,43:01.9,30643.63,44:51.1,0.766,0.0766,0.3063597,0.3064363,0.922796
30640.33,46:14.3,30641.54,47:11.7,0.121,0.0121,0.3064033,0.3064154,0.9228187
30639.54,48:08.7,30641.1,49:10.4,0.156,0.0156,0.3063954,0.306411,0.9228064
30623.92,53:03.2,30640.17,53:42.8,1.625,0.1625,0.3062392,0.3064017,0.9226409
30623.45,57:03.5,30638.06,57:43.0,1.461,0.1461,0.3062345,0.3063806,0.9226151
30643.51,58:09.0,30646.56,58:48.4,0.305,0.0305,0.3064351,0.3064656,0.9229007
30618.47,03:45.6,30619.94,06:10.2,0.147,0.0147,0.3061847,0.3061994,0.9223841
30588,09:53.1,30590,10:41.4,0.2,0.02,0.30588,0.3059,0.92178
30585.1,13:01.6,30589.98,14:06.9,0.488,0.0488,0.305851,0.3058998,0.9217508
30595.51,14:28.8,30609.1,15:07.9,1.359,0.1359,0.3059551,0.306091,0.9220461
30586.69,16:57.5,30604.64,18:07.4,1.795,0.1795,0.3058669,0.3060464,0.9219133
30581.53,19:52.2,30602.14,21:11.0,2.061,0.2061,0.3058153,0.3060214,0.9218367
30584.95,22:12.5,30596.56,23:00.4,1.161,0.1161,0.3058495,0.3059656,0.9218151
30607.8,24:19.2,30616.97,24:58.8,0.917,0.0917,0.306078,0.3061697,0.9222477
30590.62,28:21.8,30596,29:32.3,0.538,0.0538,0.3059062,0.30596,0.9218662
30597.61,30:37.6,30597.68,31:08.4,0.007,0.0007,0.3059761,0.3059768,0.9219529
30582.91,32:09.5,30599.77,33:12.2,1.686,0.1686,0.3058291,0.3059977,0.9218268
