Precio_Entrada,Tiempo_Entrada,Precio_Salida,Tiempo_Salida,Perdida
1967.91,2023-07-03 07:56:18.049854,1967.87,2023-07-03 07:56:18.514815,-0.004000000000019099
1967.87,2023-07-03 07:56:19.378497,1967.84,2023-07-03 07:56:19.557482,-0.0029999999999972718
1967.89,2023-07-03 07:56:20.583513,1967.84,2023-07-03 07:56:21.170336,-0.00500000000001819
1967.64,2023-07-03 07:57:08.137488,1967.15,2023-07-03 07:57:13.772221,-0.04900000000000091
1967.4,2023-07-03 07:57:45.760657,1967.35,2023-07-03 07:58:13.452606,-0.00500000000001819
1966.43,2023-07-03 08:02:12.954634,1966.24,2023-07-03 08:02:50.358773,-0.019000000000005457
1969.64,2023-07-03 08:09:01.605489,1969.62,2023-07-03 08:09:23.732541,-0.0020000000000209186
1970.0,2023-07-03 08:09:29.170284,1969.93,2023-07-03 08:09:39.751414,-0.006999999999993634
1970.42,2023-07-03 08:09:50.556587,1970.41,2023-07-03 08:10:01.747905,-0.0009999999999990906
1971.06,2023-07-03 08:10:07.570457,1971.02,2023-07-03 08:10:08.021735,-0.003999999999996362
1971.25,2023-07-03 08:10:10.171796,1971.21,2023-07-03 08:10:10.351929,-0.003999999999996362
1971.25,2023-07-03 08:10:10.961304,1971.22,2023-07-03 08:10:11.558206,-0.0029999999999972718
1971.25,2023-07-03 08:10:13.100581,1970.4,2023-07-03 08:10:24.051778,-0.08499999999999092
1969.87,2023-07-03 08:11:01.007824,1969.27,2023-07-03 08:11:07.061668,-0.05999999999999091
1975.8,2023-07-03 08:17:13.230378,1973.68,2023-07-03 08:17:29.333973,-0.21199999999998909
1967.89,2023-07-03 08:18:51.937062,1966.26,2023-07-03 08:19:23.654864,-0.16300000000001091
1967.21,2023-07-03 08:19:29.080786,1966.19,2023-07-03 08:20:28.749766,-0.10199999999999819
1966.99,2023-07-03 08:20:39.445597,1966.18,2023-07-03 08:20:50.730640,-0.08099999999999455
1965.79,2023-07-03 08:21:07.557024,1965.78,2023-07-03 08:21:12.800156,-0.0009999999999990906
1966.0,2023-07-03 08:21:29.116816,1963.79,2023-07-03 08:21:39.759250,-0.22100000000000364
1964.69,2023-07-03 08:21:50.614140,1964.43,2023-07-03 08:22:34.552972,-0.025999999999999093
1964.8,2023-07-03 08:23:55.948123,1964.25,2023-07-03 08:24:18.931541,-0.054999999999995455
1965.08,2023-07-03 08:24:45.949813,1964.16,2023-07-03 08:25:07.861698,-0.09199999999998454
1964.11,2023-07-03 08:25:34.861522,1963.66,2023-07-03 08:26:01.974264,-0.04499999999998181
1963.4,2023-07-03 08:26:34.322913,1963.24,2023-07-03 08:27:07.640366,-0.016000000000008185
1963.22,2023-07-03 08:27:13.148714,1963.15,2023-07-03 08:27:13.599342,-0.006999999999993634
1963.22,2023-07-03 08:27:14.458416,1962.98,2023-07-03 08:27:14.916576,-0.02400000000000091
1963.01,2023-07-03 08:27:15.812632,1962.98,2023-07-03 08:27:15.994301,-0.0029999999999972718
1963.16,2023-07-03 08:27:17.000089,1963.14,2023-07-03 08:27:17.446267,-0.001999999999998181
1963.29,2023-07-03 08:27:18.035832,1963.14,2023-07-03 08:27:18.625254,-0.014999999999986358
1962.4,2023-07-03 08:29:16.842096,1961.57,2023-07-03 08:29:32.708355,-0.08300000000001546
1962.61,2023-07-03 08:32:24.156437,1961.36,2023-07-03 08:32:29.570524,-0.125
1962.07,2023-07-03 08:32:30.431462,1961.36,2023-07-03 08:32:30.886457,-0.07100000000000364
1960.4,2023-07-03 08:33:01.682045,1959.88,2023-07-03 08:34:02.109282,-0.05199999999999819
1959.92,2023-07-03 08:34:23.813257,1959.82,2023-07-03 08:34:34.709048,-0.010000000000013644
1960.47,2023-07-03 08:35:02.183629,1960.18,2023-07-03 08:35:18.186673,-0.028999999999996362
1962.9,2023-07-03 08:38:40.566031,1962.69,2023-07-03 08:39:01.760858,-0.02100000000000364
1960.16,2023-07-03 08:40:55.949422,1959.44,2023-07-03 08:42:19.331757,-0.07200000000000273
1961.58,2023-07-03 08:47:28.810553,1961.57,2023-07-03 08:48:12.539544,-0.0009999999999990906
1961.2,2023-07-03 08:49:23.454873,1960.8,2023-07-03 08:50:49.233537,-0.0400000000000091
1961.19,2023-07-03 08:51:29.504689,1960.6,2023-07-03 08:51:54.047385,-0.059000000000014555
1960.36,2023-07-03 08:52:35.077129,1960.02,2023-07-03 08:52:56.658931,-0.033999999999991815
1960.01,2023-07-03 08:53:12.835913,1959.72,2023-07-03 08:54:06.731714,-0.028999999999996362
1959.6,2023-07-03 08:54:33.611971,1959.29,2023-07-03 08:54:44.121570,-0.030999999999994546
